"State","Agency_Type","Agency_name","Total_incidents_bias_motivation","Bias_Motivation_Race_Ethnicity_Ancestry","Bias_Motivation_Religion","Bias_Motivation_Sexual_orientation","Bias_Motivation_Disability","Bias_Motivation_Gender","Bias_Motivation_Gender_Identity","Total_incidents_Q1_to_Q4","No_of_incidents_Q1","No_of_incidents_Q2","No_of_incidents_Q3","No_of_incidents_Q4","Population"
"Alabama","Cities","Birmingham",9,7,1,1,0,0,0,9,3,2,2,2,"212,549"
"Alabama","Cities","Florence",1,1,0,0,0,0,0,1,0,0,1,0,"40,160"
"Alabama","Cities","Foley",1,1,0,0,0,0,0,1,0,1,0,0,"17,639"
"Alabama","Cities","Hoover",3,3,0,0,0,0,0,3,1,0,1,1,"85,601"
"Alaska","Cities","Anchorage",4,4,0,0,0,0,0,4,1,0,2,1,"299,097"
"Alaska","Cities","Juneau",6,6,0,0,0,0,0,6,1,1,3,1,"32,964"
"Alaska","Cities","Wasilla",1,1,0,0,0,0,0,1,1,0,0,0,"9,585"
"Arizona","Cities","Apache Junction",2,2,0,0,0,0,0,2,1,0,1,0,"38,506"
"Arizona","Cities","Chandler",4,2,2,0,0,0,0,4,1,0,1,2,"265,922"
"Arizona","Cities","Gilbert",1,1,0,0,0,0,0,1,1,0,0,0,"255,899"
"Arizona","Cities","Glendale",1,1,0,0,0,0,0,1,0,1,0,0,"242,938"
"Arizona","Cities","Mesa",5,3,0,2,0,0,0,5,3,0,0,2,"478,277"
"Arizona","Cities","Phoenix",175,90,40,44,1,0,0,174,34,39,45,56,"1,586,611"
"Arizona","Cities","Prescott Valley",2,1,0,1,0,0,0,2,1,1,,,"42,900"
"Arizona","Cities","Sahuarita",1,1,0,0,0,0,0,1,0,0,0,1,"25,792"
"Arizona","Cities","Scottsdale",4,1,3,0,0,0,0,4,0,,2,2,"240,885"
"Arizona","Cities","St. Johns",1,0,0,1,0,0,0,1,1,0,0,0,"3,482"
"Arizona","Cities","Tempe",1,0,0,1,0,0,0,1,1,0,0,0,"178,654"
"Arizona","Cities","Tucson",5,1,2,2,0,0,0,5,2,1,1,1,"533,663"
"Arizona","Cities","Williams",1,0,0,1,0,0,0,1,0,1,0,0,"3,140"
"Arizona","Cities","Yuma",4,2,1,1,0,0,0,4,1,1,2,0,"94,696"
"Arizona","Universities and Colleges","Arizona State University, Main Campus",1,1,0,0,0,0,0,1,0,0,0,1,"90,906"
"Arizona","Universities and Colleges","University of Arizona",2,0,2,0,0,0,0,2,0,2,,,"42,595"
"Arizona","Metropolitan Counties","Maricopa",3,3,0,0,0,0,0,3,,0,3,0,
"Arizona","Metropolitan Counties","Pima",1,1,0,0,0,0,0,1,0,1,0,,
"Arkansas","Cities","Fort Smith",4,3,1,0,0,0,0,4,2,0,0,2,"88,573"
"Arkansas","Cities","Jacksonville",2,2,0,0,0,0,0,2,0,0,0,2,"28,684"
"Arkansas","Cities","Little Rock",1,0,0,0,0,0,1,1,0,1,0,0,"198,800"
"Arkansas","Metropolitan Counties","Sebastian",3,3,0,0,0,0,0,3,0,1,0,2,
"Arkansas","Nonmetropolitan Counties","Sevier",2,2,0,0,0,0,0,2,0,0,2,0,
"California","Cities","Adelanto",2,1,0,1,0,0,0,2,0,1,1,0,"33,479"
"California","Cities","Alameda",3,3,0,0,0,0,0,3,0,1,0,2,"79,597"
"California","Cities","Alhambra",1,1,0,0,0,0,0,1,0,0,0,1,"86,035"
"California","Cities","Anaheim",1,1,0,0,0,0,0,1,1,0,0,0,"353,504"
"California","Cities","Antioch",2,2,0,0,0,0,0,2,0,0,2,0,"112,090"
"California","Cities","Arcata",2,2,0,0,0,0,0,2,0,0,1,1,"17,913"
"California","Cities","Azusa",2,2,0,0,0,0,0,2,2,0,0,0,"50,393"
"California","Cities","Bakersfield",8,8,0,0,0,0,0,8,0,3,2,3,"378,788"
"California","Cities","Baldwin Park",1,0,0,1,0,0,0,1,1,0,0,0,"77,400"
"California","Cities","Bellflower",1,0,0,1,0,0,0,1,1,0,0,0,"78,806"
"California","Cities","Berkeley",13,9,2,2,0,0,0,13,5,3,2,3,"122,651"
"California","Cities","Beverly Hills",1,1,0,0,0,0,0,1,0,0,1,0,"35,018"
"California","Cities","Brea",1,0,0,1,0,0,0,1,0,1,0,0,"42,465"
"California","Cities","Buena Park",3,2,1,0,0,0,0,3,0,0,2,1,"83,768"
"California","Cities","Burbank",1,1,0,0,0,0,0,1,0,0,1,0,"105,720"
"California","Cities","Calabasas",3,3,0,0,0,0,0,3,1,0,2,0,"24,492"
"California","Cities","Camarillo",1,1,0,0,0,0,0,1,0,1,0,0,"68,072"
"California","Cities","Campbell",1,0,1,0,0,0,0,1,0,1,0,0,"41,457"
"California","Cities","Capitola",1,1,0,0,0,0,0,1,0,0,0,1,"10,241"
"California","Cities","Central Marin",2,2,0,0,0,0,0,2,0,1,1,0,"35,265"
"California","Cities","Cerritos",1,0,0,1,0,0,0,1,0,0,1,0,"50,159"
"California","Cities","Chico",3,3,0,0,0,0,0,3,0,1,0,2,"91,122"
