State,Agency_Type,Agency_name,Total_incidents_bias_motivation,Bias_Motivation_Race_Ethnicity_Ancestry,Bias_Motivation_Religion,Bias_Motivation_Sexual_orientation,Bias_Motivation_Disability,Bias_Motivation_Gender,Bias_Motivation_Gender_Identity,Total_incidents_Q1_to_Q4,No_of_incidents_Q1,No_of_incidents_Q2,No_of_incidents_Q3,No_of_incidents_Q4,Population,agency_with_state,lon,lat
Alabama,Cities,Birmingham,9,7,1,1,0,0,0,9,3,2,2,2,212549,"Birmingham, Alabama",-86.80248999999999,33.5206608
Alabama,Cities,Florence,1,1,0,0,0,0,0,1,0,0,1,0,40160,"Florence, Alabama",-87.677251,34.79981
Alabama,Cities,Foley,1,1,0,0,0,0,0,1,0,1,0,0,17639,"Foley, Alabama",-87.6835974,30.4065868
Alabama,Cities,Hoover,3,3,0,0,0,0,0,3,1,0,1,1,85601,"Hoover, Alabama",-86.8113781,33.4053867
Alaska,Cities,Anchorage,4,4,0,0,0,0,0,4,1,0,2,1,299097,"Anchorage, Alaska",-149.9002778,61.2180556
Alaska,Cities,Juneau,6,6,0,0,0,0,0,6,1,1,3,1,32964,"Juneau, Alaska",-134.4197221,58.301944399999996
Alaska,Cities,Wasilla,1,1,0,0,0,0,0,1,1,0,0,0,9585,"Wasilla, Alaska",-149.4394444,61.5813889
Arizona,Cities,Apache Junction,2,2,0,0,0,0,0,2,1,0,1,0,38506,"Apache Junction, Arizona",-111.5495777,33.4150485
Arizona,Cities,Chandler,4,2,2,0,0,0,0,4,1,0,1,2,265922,"Chandler, Arizona",-111.8412502,33.3061605
Arizona,Cities,Gilbert,1,1,0,0,0,0,0,1,1,0,0,0,255899,"Gilbert, Arizona",-111.789027,33.3528264
Arizona,Cities,Glendale,1,1,0,0,0,0,0,1,0,1,0,0,242938,"Glendale, Arizona",-112.1859866,33.5386523
Arizona,Cities,Mesa,5,3,0,2,0,0,0,5,3,0,0,2,478277,"Mesa, Arizona",-111.8314724,33.4151843
Arizona,Cities,Phoenix,175,90,40,44,1,0,0,174,34,39,45,56,1586611,"Phoenix, Arizona",-112.0740373,33.4483771
Arizona,Cities,Prescott Valley,2,1,0,1,0,0,0,2,1,1,NA,NA,42900,"Prescott Valley, Arizona",-112.315721,34.6100243
Arizona,Cities,Sahuarita,1,1,0,0,0,0,0,1,0,0,0,1,25792,"Sahuarita, Arizona",-110.955646,31.9575818
Arizona,Cities,Scottsdale,4,1,3,0,0,0,0,4,0,NA,2,2,240885,"Scottsdale, Arizona",-111.9260519,33.4941704
Arizona,Cities,St. Johns,1,0,0,1,0,0,0,1,1,0,0,0,3482,"St. Johns, Arizona",-109.3609327,34.5058698
Arizona,Cities,Tempe,1,0,0,1,0,0,0,1,1,0,0,0,178654,"Tempe, Arizona",-111.9400054,33.4255104
Arizona,Cities,Tucson,5,1,2,2,0,0,0,5,2,1,1,1,533663,"Tucson, Arizona",-110.9747108,32.2226066
Arizona,Cities,Williams,1,0,0,1,0,0,0,1,0,1,0,0,3140,"Williams, Arizona",-112.1910031,35.24945659999999
Arizona,Cities,Yuma,4,2,1,1,0,0,0,4,1,1,2,0,94696,"Yuma, Arizona",-114.6276916,32.6926512
Arizona,Universities and Colleges,"Arizona State University, Main Campus",1,1,0,0,0,0,0,1,0,0,0,1,90906,"Arizona State University, Main Campus, Arizona",-112.0731218,33.4535385
Arizona,Universities and Colleges,University of Arizona,2,0,2,0,0,0,0,2,0,2,NA,NA,42595,"University of Arizona, Arizona",-110.9501094,32.2318851
Arizona,Metropolitan Counties,Maricopa,3,3,0,0,0,0,0,3,NA,0,3,0,NA,"Maricopa, Arizona",-112.0476423,33.0581063
Arizona,Metropolitan Counties,Pima,1,1,0,0,0,0,0,1,0,1,0,NA,NA,"Pima, Arizona",-109.8275815,32.8961755
Arkansas,Cities,Fort Smith,4,3,1,0,0,0,0,4,2,0,0,2,88573,"Fort Smith, Arkansas",-94.39854749999999,35.3859242
Arkansas,Cities,Jacksonville,2,2,0,0,0,0,0,2,0,0,0,2,28684,"Jacksonville, Arkansas",-92.1101458,34.8662005
