row_id,state,agency_type,agency_name,Quarter_1,Quarter_2,Quarter_3,Quarter_4,population
1,Alabama,Cities,Ashland,0,0,0,0,1974
2,Alabama,Cities,Auburn,0,0,0,0,63871
3,Alabama,Cities,Demopolis,0,0,0,0,7089
4,Alabama,Cities,Enterprise,0,0,,,28227
5,Alabama,Cities,Eutaw,0,0,0,0,2736
6,Alabama,Cities,Fairhope,0,0,0,0,19470
7,Alabama,Cities,Gadsden,0,0,0,0,35927
8,Alabama,Cities,Guntersville,0,0,0,0,8421
9,Alabama,Cities,Jasper,0,0,0,0,14009
10,Alabama,Cities,Lineville,0,0,0,0,2306
11,Alabama,Cities,Midland City,0,0,0,0,2426
12,Alabama,Cities,Mobile,0,0,0,0,249921
13,Alabama,Cities,Opp,0,0,0,0,6657
14,Alabama,Cities,Pelham,0,0,0,0,23162
15,Alabama,Cities,Prattville,0,0,0,0,35698
16,Alabama,Cities,Rainbow City,0,0,0,0,9573
17,Alabama,Cities,Sardis City,0,0,0,0,1764
18,Alabama,Cities,Springville,0,0,0,0,4221
19,Alabama,Cities,Summerdale,0,0,0,0,1181
20,Alabama,Cities,Taylor,0,0,0,0,2407
21,Alabama,Cities,Trussville,0,0,,0,21229
22,Alabama,Cities,Tuscaloosa,0,0,0,0,99925
23,Alabama,Metropolitan Counties,Geneva,0,0,0,0,
24,Alabama,Tribal Agencies,Poarch Creek Tribal,0,0,0,0,
25,Alaska,Cities,Bethel,0,0,0,0,6522
26,Alaska,Cities,Bristol Bay Borough,0,0,0,0,870
27,Alaska,Cities,Cordova,0,0,0,0,2186
28,Alaska,Cities,Craig,0,0,0,0,1256
29,Alaska,Cities,Dillingham,0,0,0,0,2419
30,Alaska,Cities,Fairbanks,0,0,0,0,32456
31,Alaska,Cities,Haines,0,0,0,0,2535
32,Alaska,Cities,Homer,0,0,0,0,5613
33,Alaska,Cities,Kenai,0,0,0,0,7770
34,Alaska,Cities,Ketchikan,0,0,0,0,8221
35,Alaska,Cities,Kodiak,0,0,0,0,6274
36,Alaska,Cities,Kotzebue,0,0,0,0,3290
37,Alaska,Cities,Nome,0,0,0,0,3846
38,Alaska,Cities,North Pole,0,0,0,0,2201
39,Alaska,Cities,North Slope Borough,0,0,0,0,9710
40,Alaska,Cities,Palmer,0,0,0,0,6959
41,Alaska,Cities,Petersburg,0,0,0,0,3162
