Row_id,State,Agency_Type,Agency_name,Total_incidents_bias_motivation,Bias_Motivation_Race_Ethnicity_Ancestry,Bias_Motivation_Religion,Bias_Motivation_Sexual_orientation,Bias_Motivation_Disability,Bias_Motivation_Gender,Bias_Motivation_Gender_Identity,Total_incidents_Q1_to_Q4,No_of_incidents_Q1,No_of_incidents_Q2,No_of_incidents_Q3,No_of_incidents_Q4,Population
1,Alaska,Cities,Anchorage,1,1,0,0,0,0,0,1,0,0,1,0,"291,992"
2,Alaska,Cities,Fairbanks,3,2,0,0,1,0,0,3,1,1,1,0,"31,635"
3,Alaska,Cities,Juneau,2,0,2,0,0,0,0,2,0,0,2,0,"31,922"
4,Alaska,Cities,Kotzebue,1,1,0,0,0,0,0,1,0,1,0,0,"3,273"
5,Arizona,Cities,Avondale,1,1,0,0,0,0,0,1,,1,0,0,"85,204"
6,Arizona,Cities,Coolidge,2,2,0,0,0,0,0,2,0,0,0,2,"12,815"
7,Arizona,Cities,Flagstaff,2,1,0,1,0,0,0,2,0,2,0,0,"72,852"
8,Arizona,Cities,Gilbert,1,1,0,0,0,0,0,1,0,0,1,0,"247,463"
9,Arizona,Cities,Glendale,8,7,0,1,0,0,0,8,3,1,1,3,"249,799"
10,Arizona,Cities,Maricopa,1,1,0,0,0,0,0,1,0,1,0,0,"48,660"
11,Arizona,Cities,Mesa,3,2,0,1,0,0,0,3,2,1,0,0,"504,873"
12,Arizona,Cities,Page,3,2,0,1,0,0,0,3,1,1,1,0,"7,576"
13,Arizona,Cities,Peoria,1,1,0,0,0,0,0,1,0,1,0,0,"170,177"
14,Arizona,Cities,Phoenix3,112,59,24,25,1,1,2,106,35,26,18,27,"1,653,080"
15,Arizona,Cities,Prescott,1,1,0,0,0,0,0,1,1,0,0,0,"43,172"
16,Arizona,Cities,Scottsdale,5,2,2,1,0,0,0,5,1,1,1,2,"254,961"
17,Arizona,Cities,St. Johns,1,0,1,0,0,0,0,1,0,0,1,0,"3,510"
18,Arizona,Cities,Surprise,3,1,2,0,0,0,0,3,0,1,2,0,"136,611"
19,Arizona,Cities,Tempe,1,0,1,0,0,0,0,1,1,0,0,0,"188,543"
20,Arizona,Cities,Tucson3,18,7,2,6,1,1,1,17,5,4,8,0,"537,392"
21,Arizona,Cities,Yuma,7,5,1,1,0,0,0,7,1,2,2,2,"96,121"
22,Arizona,Universities and Colleges,University of Arizona,2,1,1,0,0,0,0,2,1,1,0,0,"47,648"
23,Arizona,Nonmetropolitan Counties,La Paz,1,1,0,0,0,0,0,1,0,0,0,1,
24,Arkansas,Cities,Benton,1,1,0,0,0,0,0,1,0,1,0,0,"36,556"
25,Arkansas,Cities,Fort Smith,3,2,0,1,0,0,0,3,2,1,0,0,"88,290"
26,Arkansas,Cities,Hot Springs,1,1,0,0,0,0,0,1,1,0,0,0,"37,006"
27,Arkansas,Cities,Newport,1,1,0,0,0,0,0,1,0,0,0,1,"7,654"
28,Arkansas,Cities,Rogers,2,2,0,0,0,0,0,2,0,1,1,0,"68,026"
29,Arkansas,Cities,Sherwood,2,1,1,0,0,0,0,2,0,1,0,1,"31,284"
30,Arkansas,Cities,Springdale,1,0,0,0,1,0,0,1,1,0,0,0,"73,496"
31,Arkansas,Metropolitan Counties,Pulaski,1,1,0,0,0,0,0,1,0,0,1,0,
32,Arkansas,Nonmetropolitan Counties,Sevier,1,1,0,0,0,0,0,1,0,1,0,0,
33,California,Cities,Alameda,7,3,3,1,0,0,0,7,3,2,2,0,"79,951"
34,California,Cities,Albany,4,2,1,1,0,0,0,4,2,0,0,2,"20,379"
35,California,Cities,American Canyon,1,0,1,0,0,0,0,1,0,1,0,0,"20,339"
36,California,Cities,Anaheim,2,0,0,2,0,0,0,2,1,0,1,0,"354,743"
37,California,Cities,Antioch,2,1,1,0,0,0,0,2,0,1,0,1,"112,956"
38,California,Cities,Apple Valley,1,1,0,0,0,0,0,1,1,0,0,0,"73,631"
39,California,Cities,Arvin,1,1,0,0,0,0,0,1,0,0,1,0,"21,560"
40,California,Cities,Azusa,3,3,0,0,0,0,0,3,0,1,1,1,"50,393"
41,California,Cities,Bakersfield,10,3,6,1,0,0,0,10,6,2,2,0,"385,609"
42,California,Cities,Baldwin Park,1,1,0,0,0,0,0,1,1,0,0,0,"76,541"
43,California,Cities,Beaumont,1,1,0,0,0,0,0,1,0,1,0,0,"48,559"
44,California,Cities,Bell,2,1,0,1,0,0,0,2,1,0,,1,"35,857"
45,California,Cities,Bellflower,1,1,0,0,0,0,0,1,0,1,0,0,"77,937"
46,California,Cities,Bell Gardens,1,1,0,0,0,0,0,1,1,0,0,0,"42,845"
47,California,Cities,Berkeley,17,8,5,4,0,0,0,17,5,3,5,4,"123,735"
48,California,Cities,Beverly Hills,5,2,3,0,0,0,0,5,0,1,2,2,"34,557"
49,California,Cities,Brea,1,0,1,0,0,0,0,1,0,0,1,0,"43,279"
50,California,Cities,Brentwood,3,3,0,0,0,0,0,3,0,3,0,0,"64,118"
51,California,Cities,Buena Park,2,1,0,1,0,0,0,2,0,0,0,2,"83,336"
52,California,Cities,Burbank,10,4,4,2,0,0,0,10,5,0,1,4,"105,041"
53,California,Cities,Calabasas,2,0,2,0,0,0,0,2,0,1,1,0,"24,309"
54,California,Cities,Calimesa,1,1,0,0,0,0,0,1,0,0,1,0,"8,953"
55,California,Cities,Camarillo,2,2,0,0,0,0,0,2,1,1,0,0,"68,218"
56,California,Cities,Capitola,1,0,0,1,0,0,0,1,1,0,0,0,"10,218"
57,California,Cities,Carlsbad,6,4,2,0,0,0,0,6,3,1,2,0,"116,739"
58,California,Cities,Carson,1,1,0,0,0,0,0,1,1,0,0,0,"92,895"
59,California,Cities,Central Marin,1,1,0,0,0,0,0,1,1,0,0,0,"35,033"
60,California,Cities,Chino Hills,1,1,0,0,0,0,0,1,1,0,0,0,"81,177"
61,California,Cities,Chula Vista,2,1,1,0,0,0,0,2,0,0,1,1,"274,370"
62,California,Cities,Citrus Heights,3,3,0,0,0,0,0,3,1,0,2,0,"88,603"
63,California,Cities,Claremont,1,1,0,0,0,0,0,1,0,0,0,1,"36,178"
64,California,Cities,Clayton,1,1,0,0,0,0,0,1,0,0,1,0,"12,330"
65,California,Cities,Clearlake,2,2,0,0,0,0,0,2,1,0,1,0,"15,037"
