Row_id,State,Agency_Type,Agency_name,Total_incidents_bias_motivation,Bias_Motivation_Race_Ethnicity_Ancestry,Bias_Motivation_Religion,Bias_Motivation_Sexual_orientation,Bias_Motivation_Disability,Bias_Motivation_Gender,Bias_Motivation_Gender_Identity,Total_incidents_Q1_to_Q4,No_of_incidents_Q1,No_of_incidents_Q2,No_of_incidents_Q3,No_of_incidents_Q4,Population,agency_with_state,agency_with_state_clean,lon,lat
1,Alaska,Cities,Anchorage,1,1,0,0,0,0,0,1,0,0,1,0,291992,"Anchorage, Alaska","Anchorage, Alaska",-149.9002778,61.2180556
2,Alaska,Cities,Fairbanks,3,2,0,0,1,0,0,3,1,1,1,0,31635,"Fairbanks, Alaska","Fairbanks, Alaska",-147.7163888,64.8377778
3,Alaska,Cities,Juneau,2,0,2,0,0,0,0,2,0,0,2,0,31922,"Juneau, Alaska","Juneau, Alaska",-134.4197221,58.301944399999996
4,Alaska,Cities,Kotzebue,1,1,0,0,0,0,0,1,0,1,0,0,3273,"Kotzebue, Alaska","Kotzebue, Alaska",-162.5966666,66.89833329999999
5,Arizona,Cities,Avondale,1,1,0,0,0,0,0,1,NA,1,0,0,85204,"Avondale, Arizona","Avondale, Arizona",-112.3496021,33.4355977
6,Arizona,Cities,Coolidge,2,2,0,0,0,0,0,2,0,0,0,2,12815,"Coolidge, Arizona","Coolidge, Arizona",-111.517624,32.977839
7,Arizona,Cities,Flagstaff,2,1,0,1,0,0,0,2,0,2,0,0,72852,"Flagstaff, Arizona","Flagstaff, Arizona",-111.651302,35.1982836
8,Arizona,Cities,Gilbert,1,1,0,0,0,0,0,1,0,0,1,0,247463,"Gilbert, Arizona","Gilbert, Arizona",-111.789027,33.3528264
9,Arizona,Cities,Glendale,8,7,0,1,0,0,0,8,3,1,1,3,249799,"Glendale, Arizona","Glendale, Arizona",-112.1859866,33.5386523
10,Arizona,Cities,Maricopa,1,1,0,0,0,0,0,1,0,1,0,0,48660,"Maricopa, Arizona","Maricopa, Arizona",-112.0476423,33.0581063
11,Arizona,Cities,Mesa,3,2,0,1,0,0,0,3,2,1,0,0,504873,"Mesa, Arizona","Mesa, Arizona",-111.8314724,33.4151843
12,Arizona,Cities,Page,3,2,0,1,0,0,0,3,1,1,1,0,7576,"Page, Arizona","Page, Arizona",-111.4558333,36.91472220000001
13,Arizona,Cities,Peoria,1,1,0,0,0,0,0,1,0,1,0,0,170177,"Peoria, Arizona","Peoria, Arizona",-112.2373779,33.5805955
14,Arizona,Cities,Phoenix3,112,59,24,25,1,1,2,106,35,26,18,27,1653080,"Phoenix3, Arizona","Phoenix3, Arizona",-112.0740373,33.4483771
15,Arizona,Cities,Prescott,1,1,0,0,0,0,0,1,1,0,0,0,43172,"Prescott, Arizona","Prescott, Arizona",-112.4685025,34.5400242
16,Arizona,Cities,Scottsdale,5,2,2,1,0,0,0,5,1,1,1,2,254961,"Scottsdale, Arizona","Scottsdale, Arizona",-111.9260519,33.4941704
17,Arizona,Cities,St. Johns,1,0,1,0,0,0,0,1,0,0,1,0,3510,"St. Johns, Arizona","St. Johns, Arizona",-109.3609327,34.5058698
18,Arizona,Cities,Surprise,3,1,2,0,0,0,0,3,0,1,2,0,136611,"Surprise, Arizona","Surprise, Arizona",-112.3679279,33.6292337
19,Arizona,Cities,Tempe,1,0,1,0,0,0,0,1,1,0,0,0,188543,"Tempe, Arizona","Tempe, Arizona",-111.9400054,33.4255104
