Row_id,State,Agency_type,Agency_name,Quarter_1,Quarter_2,Quarter_3,Quarter_4,Population
1,Alabama,Cities,Abbeville,0,,,0,"2,551"
2,Alabama,Cities,Adamsville,0,,,0,"4,323"
3,Alabama,Cities,Alexander City,,0,0,0,"14,548"
4,Alabama,Cities,Andalusia,0,,,0,"8,753"
5,Alabama,Cities,Arab,0,,0,0,"8,311"
6,Alabama,Cities,Auburn,,0,0,0,"65,585"
7,Alabama,Cities,Bayou La Batre,0,0,0,0,"2,500"
8,Alabama,Cities,Blountsville,0,0,0,,"1,668"
9,Alabama,Cities,Brent,0,0,,0,"4,853"
10,Alabama,Cities,Camden,,0,0,0,"1,824"
11,Alabama,Cities,Carbon Hill,0,0,0,,"1,915"
12,Alabama,Cities,Clayton,0,0,0,,"2,854"
13,Alabama,Cities,Cullman,0,,0,,"15,470"
14,Alabama,Cities,Dadeville,0,,,0,"3,091"
15,Alabama,Cities,Daleville,,,,0,"5,096"
16,Alabama,Cities,Dauphin Island,,0,0,0,"1,274"
17,Alabama,Cities,Decatur,0,0,0,,"54,207"
18,Alabama,Cities,Demopolis,,0,0,0,"6,770"
19,Alabama,Cities,Elba,0,,,0,"3,864"
20,Alabama,Cities,Enterprise,,0,,0,"28,464"
21,Alabama,Cities,Eufaula,0,,0,0,"11,905"
22,Alabama,Cities,Evergreen,0,0,0,,"3,639"
23,Alabama,Cities,Flomaton,0,0,,0,"1,382"
24,Alabama,Cities,Fyffe,0,,0,0,"1,018"
25,Alabama,Cities,Gardendale,,0,0,,"13,907"
26,Alabama,Cities,Georgiana,,,,0,"1,618"
27,Alabama,Cities,Greenville,,0,0,,"7,564"
28,Alabama,Cities,Guntersville,,0,,,"8,462"
29,Alabama,Cities,Haleyville,0,,0,0,"3,957"
30,Alabama,Cities,Helena,0,,0,,"19,387"
31,Alabama,Cities,Hoover,0,0,0,0,"85,521"
32,Alabama,Cities,Hueytown,0,,0,0,"15,367"
33,Alabama,Cities,Ider,0,0,,0,716
34,Alabama,Cities,Irondale,0,,0,0,"12,486"
35,Alabama,Cities,Jasper,,0,0,,"13,512"
36,Alabama,Cities,Lake View,0,,0,0,"2,349"
37,Alabama,Cities,Lanett,,0,0,0,"6,245"
38,Alabama,Cities,Leesburg,0,0,,0,"1,021"
39,Alabama,Cities,Leighton,,0,0,0,705
40,Alabama,Cities,Lincoln,,0,0,,"6,725"
41,Alabama,Cities,Linden,0,0,0,,"1,912"
42,Alabama,Cities,Livingston,,0,0,0,"3,317"
43,Alabama,Cities,Lynn,0,,,0,639
44,Alabama,Cities,Madison,0,0,,0,"49,709"
45,Alabama,Cities,McIntosh,,0,0,0,221
46,Alabama,Cities,Midland City,0,0,,0,"2,387"
47,Alabama,Cities,Mobile,,0,,,"245,475"
48,Alabama,Cities,Montgomery,0,,,,"198,662"
49,Alabama,Cities,Moody,,,0,0,"13,134"
50,Alabama,Cities,Muscle Shoals,0,,0,0,"14,143"
51,Alabama,Cities,Opp,0,,0,0,"6,441"
52,Alabama,Cities,Orange Beach,0,,0,0,"6,116"
53,Alabama,Cities,Ozark,,,0,,"14,358"
54,Alabama,Cities,Prattville,0,0,,,"35,697"
55,Alabama,Cities,Rainsville,,0,0,0,"5,050"
56,Alabama,Cities,Ranburne,0,0,,0,404
57,Alabama,Cities,Roanoke,,,0,0,"5,914"
58,Alabama,Cities,Robertsdale,0,,0,0,"6,220"
59,Alabama,Cities,Rogersville,0,0,0,,"1,226"
60,Alabama,Cities,Samson,0,0,0,,"1,880"
61,Alabama,Cities,Saraland,,,0,0,"14,704"
62,Alabama,Cities,Satsuma,0,0,0,,"6,153"
63,Alabama,Cities,Sheffield,0,,,,"8,914"
64,Alabama,Cities,Sumiton,0,0,,0,"2,348"
65,Alabama,Cities,Sylacauga,,0,0,0,"12,186"
66,Alabama,Cities,Tarrant,0,,0,0,"6,175"
67,Alabama,Cities,Trinity,0,,0,0,"2,165"
68,Alabama,Cities,Troy,0,,,,"19,159"
69,Alabama,Cities,Trussville,0,0,,0,"22,096"
70,Alabama,Cities,Tuskegee,,0,0,0,"8,373"
71,Alabama,Cities,Union Springs,,,,0,"3,510"
72,Alabama,Cities,Uniontown,0,,0,0,"2,271"
73,Alabama,Cities,Vestavia Hills,0,0,0,0,"34,368"
74,Alabama,Cities,Warrior,,0,0,0,"3,213"
75,Alabama,Universities and Colleges,Tuskegee University,0,,0,0,"3,219"
76,Alabama,Universities and Colleges,University of South Alabama,,0,0,,"18,481"
77,Alabama,Metropolitan Counties,Baldwin,,0,0,0,
78,Alabama,Metropolitan Counties,Blount,,0,0,0,
79,Alabama,Metropolitan Counties,Colbert,,0,0,0,
80,Alabama,Metropolitan Counties,Houston,0,0,,0,
81,Alabama,Metropolitan Counties,Lee,,,0,0,
