row_id,state,agency_type,agency_name,Quarter_1,Quarter_2,Quarter_3,Quarter_4,population,agency_with_state,lon,lat
460,California,Cities,Corcoran,0,0,0,0,22111,"Corcoran, California",NA,NA
2160,Illinois,Cities,Mount Vernon,0,0,0,0,15053,"Mount Vernon, Illinois",NA,NA
2165,Illinois,Cities,Naperville,0,0,0,0,148070,"Naperville, Illinois",NA,NA
2177,Illinois,Cities,Northbrook,0,0,0,0,33746,"Northbrook, Illinois",NA,NA
2188,Illinois,Cities,O'Fallon,0,0,0,0,29061,"O'Fallon, Illinois",NA,NA
2202,Illinois,Cities,Palos Heights,0,0,0,0,12549,"Palos Heights, Illinois",NA,NA
2311,Illinois,Cities,Swansea,0,0,0,0,13533,"Swansea, Illinois",NA,NA
3603,Louisiana,Cities,Shreveport,0,0,0,NA,196467,"Shreveport, Louisiana",-93.7501789,32.5251516
4875,Minnesota,Cities,New Brighton,0,0,0,0,22521,"New Brighton, Minnesota",-93.2018908,45.0655212
4882,Minnesota,Cities,North St. Paul,0,0,0,0,12495,"North St. Paul, Minnesota",NA,NA
4940,Minnesota,Cities,West St. Paul,0,0,0,0,19762,"West St. Paul, Minnesota",-93.10160739999999,44.9160768
4947,Minnesota,Cities,Worthington,0,0,0,0,13151,"Worthington, Minnesota",NA,NA
5045,Mississippi,Cities,Madison,0,0,0,0,26119,"Madison, Mississippi",NA,NA
5046,Mississippi,Cities,Oxford,NA,0,0,0,23052,"Oxford, Mississippi",NA,NA
6692,New York,Cities,Endicott Village,0,0,0,0,12944,"Endicott Village, New York",-76.04936839999999,42.098408
6794,New York,Cities,Mamaroneck Village,0,0,0,0,19460,"Mamaroneck Village, New York",-73.7326309,40.94870969999999
6884,New York,Cities,Rockville Centre Village,0,0,0,0,24229,"Rockville Centre Village, New York",-73.6412406,40.65871380000001
6910,New York,Cities,Sleepy Hollow Village,0,0,0,0,10315,"Sleepy Hollow Village, New York",-73.85846839999999,41.085652
