REC_BH	STATNUM	ORI	BINCIDNO	ORIADDDT	ORINIBRS	CITY	STATECOD	POPGRP	DIVISN	REGION	AGINDIC	CORECTY	COVBYORI	FIELDNO	JUDDIST	NBRSFLG	INACTDTE	POP1	COUNTY1	MSA1	LSTPOP1	POP2	COUNTY2	MSA2	LSTPOP2	POP3	COUNTY3	MSA3	LSTPOP3	POP4	COUNTY4	MSA4	LSTPOP4	POP5	COUNTY5	MSA5	LSTPOP5	MASTERYR	QTR1ACT	QTR2ACT	QTR3ACT	QTR4ACT	F1QACT	F2QACT	F3QACT	F4QACT	AGNAME	CFIPS1	CFIPS2	CFIPS3	CFIPS4	CFIPS5	HC_FLAG
BH	50	AK0010100	 	19910430	 	ANCHORAGE, AK	AK	2	9	4	1	N	 	3030	020A	 	 	241565	 	37	234571	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	ANCHORAGE	 	 	 	 	 	0
BH	50	AK0010200	 	19910430	 	FAIRBANKS, AK	AK	4	9	4	1	N	 	3030	020A	 	 	32914	 	 	31961	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	FAIRBANKS	 	 	 	 	 	0
BH	50	AK0010300	 	19910430	 	JUNEAU, AK	AK	4	9	4	1	N	 	3030	020A	 	 	28547	 	 	27721	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	JUNEAU	 	 	 	 	 	0
BH	50	AK0010400	 	19910430	 	KETCHIKAN, AK	AK	6	9	4	1	N	 	3030	 	 	 	8817	 	 	8562	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	KETCHIKAN	 	 	 	 	 	0
BH	50	AK0010500	 	19910430	 	KODIAK, AK	AK	6	9	4	1	N	 	3030	020A	 	 	6791	 	 	6595	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	KODIAK	 	 	 	 	 	0
BH	50	AK0010600	 	19910430	 	NOME, AK	AK	6	9	4	1	N	 	3030	020A	 	 	3734	 	 	3626	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	NOME	 	 	 	 	 	0
BH	50	AK0010700	 	19910430	 	PETERSBURG, AK	AK	6	9	4	1	N	 	3030	020A	 	 	3422	 	 	3323	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	PETERSBURG	 	 	 	 	 	0
BH	50	AK0010800	 	19910430	 	SEWARD, AK	AK	6	9	4	1	N	 	3030	020A	 	 	2879	 	 	2796	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	SEWARD	 	 	 	 	 	0
BH	50	AK0010900	 	19910430	 	SITKA, AK	AK	6	9	4	1	N	 	3030	020A	 	 	9164	 	 	8899	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	SITKA	 	 	 	 	 	0
BH	50	AK0011000	 	19910430	 	SKAGWAY, AK	AK	7	9	4	1	N	 	3030	020A	 	 	738	 	 	717	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	SKAGWAY	 	 	 	 	 	0
BH	50	AK0011100	 	19910430	 	WRANGELL, AK	AK	6	9	4	1	N	 	3030	020A	 	 	2644	 	 	2568	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	WRANGELL	 	 	 	 	 	0
BH	50	AK0011200	 	19910430	 	VALDEZ, AK	AK	6	9	4	1	N	 	3030	020A	 	 	4340	 	 	4215	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	VALDEZ	 	 	 	 	 	0
BH	50	AK0011300	 	19910430	 	BETHEL, AK	AK	6	9	4	1	N	 	3030	020A	 	 	4987	 	 	4843	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	BETHEL	 	 	 	 	 	0
BH	50	AK0011400	 	19910430	 	CORDOVA, AK	AK	7	9	4	1	N	 	3030	020A	 	 	2251	 	 	2186	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	CORDOVA	 	 	 	 	 	0
BH	50	AK0011600	 	19910430	 	KOTZEBUE, AK	AK	6	9	4	1	N	 	3030	020A	 	 	2934	 	 	2850	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	KOTZEBUE	 	 	 	 	 	0
BH	50	AK0011700	 	19910430	 	PALMER, AK	AK	6	9	4	1	N	 	3030	020A	 	 	3057	 	 	2969	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	PALMER	 	 	 	 	 	0
BH	50	AK0011800	 	19910430	 	BARROW, AK	AK	6	9	4	1	N	 	3030	020A	 	 	6379	 	 	6195	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	NORTH SLOPE BOROUGH	 	 	 	 	 	0
BH	50	AK0011900	 	19910430	 	SELDOVIA, AK	AK	7	9	4	1	N	 	3030	020A	 	 	336	 	 	327	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	SELDOVIA	 	 	 	 	 	0
BH	50	AK0012000	 	19910430	 	SOLDOTNA, AK	AK	6	9	4	1	N	 	3030	020A	 	 	3715	 	 	3608	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	SOLDOTNA	 	 	 	 	 	0
BH	50	AK0012100	 	19910430	 	HAINES, AK	AK	7	9	4	1	N	 	3030	020A	 	 	1320	 	 	1282	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	HAINES	 	 	 	 	 	0
BH	50	AK0012200	 	19910430	 	HOMER, AK	AK	6	9	4	1	N	 	3030	020A	 	 	3905	 	 	3792	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	HOMER	 	 	 	 	 	0
BH	50	AK0012300	 	19910430	 	KENAI, AK	AK	6	9	4	1	N	 	3030	020A	 	 	6751	 	 	6556	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	KENAI	 	 	 	 	 	0
BH	50	AK0012400	 	19910430	 	SPENARD, AK	AK	7	9	4	0	N	AK0010100	3030	020A	 	19891101	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	SPENARD SERVICE DISTRICT	 	 	 	 	 	0
BH	50	AK0012700	 	19910430	 	ANCHORAGE, AK	AK	7	9	4	1	N	 	3030	020A	 	 	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	ANCHORAGE AIRPORT SAFETY	 	 	 	 	 	0
BH	50	AK0012800	 	19910430	 	WHITTIER, AK	AK	7	9	4	1	N	 	3030	020A	 	 	258	 	 	251	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	WHITTIER	 	 	 	 	 	0
BH	50	AK0013000	 	19910430	 	DILLINGHAM, AK	AK	7	9	4	1	N	 	3030	020A	 	 	2152	 	 	2090	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	DILLINGHAM	 	 	 	 	 	0
BH	50	AK0013100	 	19910430	 	HOONAH, AK	AK	7	9	4	1	N	 	3030	020A	 	 	847	 	 	823	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	HOONAH	 	 	 	 	 	0
BH	50	AK0013200	 	19910430	 	NORTH POLE, AK	AK	7	9	4	1	N	 	3030	020A	 	 	1552	 	 	1508	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1992	 	 	 	 	 	 	 	 	NORTH POLE	 	 	 	 	 	0
