REC_BH	STATNUM	ORI	BINCIDNO	ORIADDDT	ORINIBRS	CITY	STATECOD	POPGRP	DIVISN	REGION	AGINDIC	CORECTY	COVBYORI	FIELDNO	JUDDIST	NBRSFLG	INACTDTE	POP1	COUNTY1	MSA1	LSTPOP1	POP2	COUNTY2	MSA2	LSTPOP2	POP3	COUNTY3	MSA3	LSTPOP3	POP4	COUNTY4	MSA4	LSTPOP4	POP5	COUNTY5	MSA5	LSTPOP5	MASTERYR	QTR1ACT	QTR2ACT	QTR3ACT	QTR4ACT	F1QACT	F2QACT	F3QACT	F4QACT	AGNAME	CFIPS1	CFIPS2	CFIPS3	CFIPS4	CFIPS5	HC_FLAG
BH	50	AK0010100	 	19910430	 	ANCHORAGE, AK	AK	1C	9	4	1	N	 	3030	020A	 	 	250720	 	37	241565	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	I	I	I	 	 	 	 	 	ANCHORAGE	 	 	 	 	 	1
BH	50	AK0010200	 	19910430	 	FAIRBANKS, AK	AK	4	9	4	1	N	 	3030	020A	 	 	33842	 	 	32914	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	FAIRBANKS	 	 	 	 	 	0
BH	50	AK0010300	 	19910430	 	JUNEAU, AK	AK	4	9	4	1	N	 	3030	020A	 	 	28894	 	 	28547	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	JUNEAU	 	 	 	 	 	0
BH	50	AK0010400	 	19910430	 	KETCHIKAN, AK	AK	6	9	4	1	N	 	3030	 	 	 	8640	 	 	8817	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	KETCHIKAN	 	 	 	 	 	0
BH	50	AK0010500	 	19910430	 	KODIAK, AK	AK	6	9	4	1	N	 	3030	020A	 	 	7006	 	 	6791	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	KODIAK	 	 	 	 	 	0
BH	50	AK0010600	 	19910430	 	NOME, AK	AK	6	9	4	1	N	 	3030	020A	 	 	3549	 	 	3734	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	NOME	 	 	 	 	 	0
BH	50	AK0010700	 	19910430	 	PETERSBURG, AK	AK	6	9	4	1	N	 	3030	020A	 	 	3188	 	 	3422	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	PETERSBURG	 	 	 	 	 	0
BH	50	AK0010800	 	19910430	 	SEWARD, AK	AK	6	9	4	1	N	 	3030	020A	 	 	2875	 	 	2879	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	SEWARD	 	 	 	 	 	0
BH	50	AK0010900	 	19910430	 	SITKA, AK	AK	6	9	4	1	N	 	3030	020A	 	 	9044	 	 	9164	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	SITKA	 	 	 	 	 	0
BH	50	AK0011000	 	19910430	 	SKAGWAY, AK	AK	7	9	4	1	N	 	3030	020A	 	 	754	 	 	738	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	SKAGWAY	 	 	 	 	 	0
BH	50	AK0011100	 	19910430	 	WRANGELL, AK	AK	6	9	4	1	N	 	3030	020A	 	 	2608	 	 	2644	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	WRANGELL	 	 	 	 	 	0
BH	50	AK0011200	 	19910430	 	VALDEZ, AK	AK	6	9	4	1	N	 	3030	020A	 	 	4415	 	 	4340	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	VALDEZ	 	 	 	 	 	0
BH	50	AK0011300	 	19910430	 	BETHEL, AK	AK	6	9	4	1	N	 	3030	020A	 	 	5032	 	 	4987	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	BETHEL	 	 	 	 	 	0
BH	50	AK0011400	 	19910430	 	CORDOVA, AK	AK	7	9	4	1	N	 	3030	020A	 	 	2170	 	 	2251	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	CORDOVA	 	 	 	 	 	0
BH	50	AK0011600	 	19910430	 	KOTZEBUE, AK	AK	6	9	4	1	N	 	3030	020A	 	 	2904	 	 	2934	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	KOTZEBUE	 	 	 	 	 	0
BH	50	AK0011700	 	19910430	 	PALMER, AK	AK	6	9	4	1	N	 	3030	020A	 	 	3392	 	 	3057	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	PALMER	 	 	 	 	 	0
BH	50	AK0011800	 	19910430	 	BARROW, AK	AK	6	9	4	1	N	 	3030	020A	 	 	6657	 	 	6379	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	NORTH SLOPE BOROUGH	 	 	 	 	 	0
BH	50	AK0011900	 	19910430	 	SELDOVIA, AK	AK	7	9	4	1	N	 	3030	020A	 	 	321	 	 	336	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	SELDOVIA	 	 	 	 	 	0
BH	50	AK0012000	 	19910430	 	SOLDOTNA, AK	AK	6	9	4	1	N	 	3030	020A	 	 	3899	 	 	3715	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	SOLDOTNA	 	 	 	 	 	0
BH	50	AK0012100	 	19910430	 	HAINES, AK	AK	7	9	4	1	N	 	3030	020A	 	 	1255	 	 	1320	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	HAINES	 	 	 	 	 	0
BH	50	AK0012200	 	19910430	 	HOMER, AK	AK	6	9	4	1	N	 	3030	020A	 	 	3781	 	 	3905	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	HOMER	 	 	 	 	 	0
BH	50	AK0012300	 	19910430	 	KENAI, AK	AK	6	9	4	1	N	 	3030	020A	 	 	6852	 	 	6751	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1993	 	 	 	 	 	 	 	 	KENAI	 	 	 	 	 	0
